Country name,Year,Log GDP per capita,Healthy life expectancy at birth,Perceptions of corruption,Confidence in national government,Democratic Quality,Delivery Quality,Cluster
Afghanistan,2017,0.1809381776758239,0.1922584924183569,1.0,0.1726003261528483,0.0,0.0815391785810597,5
Albania,2017,0.5698213463039334,0.7375735691453235,0.8987928550334537,0.3984103603653313,0.631652015519105,0.4294992388796694,3
Argentina,2017,0.6676561987919157,0.7445646800858118,0.8534228088476259,0.2234374442070586,0.646488841749835,0.4221168004053148,3
Armenia,2017,0.508737028241846,0.6746525010245911,0.8839834425982289,0.15619807648449,0.3620972350225886,0.4288011163339471,3
Australia,2017,0.8452614069495341,0.9088584609785704,0.2977050836172761,0.3934353288012241,0.8743561364327578,0.9260904724409122,0
Austria,2017,0.848883230463818,0.8878845940280581,0.4360277214701961,0.3733321723863696,0.8886262273148609,0.8791563520390732,0
Azerbaijan,2017,0.6308158295120142,0.6257139225484804,0.6096275564368608,0.7532173180430864,0.2091340125291995,0.3412478424615949,1
Bangladesh,2017,0.3195638608662013,0.5767754772550708,0.5869639230718743,0.8796594137557423,0.2755170442347562,0.2614160669857,2
Belarus,2017,0.647386108094956,0.6466877894989927,0.6116636472182932,0.3871275724910777,0.3530489417937238,0.3205780627448782,1
Belgium,2017,0.8358214453321601,0.8564243266826549,0.4680256590656328,0.3892133813925122,0.8062287060830592,0.8145816577702077,0
Benin,2017,0.2088377122110288,0.2307102709514733,0.7579577870709314,0.5791784991501074,0.6061638732280118,0.3119723314112267,5
Bolivia,2017,0.4582478875834738,0.5592974324897657,0.8252422124966055,0.3638257565196306,0.4975060135564279,0.254315064036056,1
Bosnia and Herzegovina,2017,0.5682449920376195,0.7061130350849573,0.9598452103521676,0.017741367572501,0.4598937722152605,0.373812877641408,3
Botswana,2017,0.6302920234260063,0.3810214290169091,0.7116682858516336,0.7580855982270578,0.7490670350608835,0.610724447806266,1
Brazil,2017,0.6066786953529784,0.6606700120790907,0.7931636445697149,0.0626721805857413,0.5518756596828829,0.3831247182837103,3
Bulgaria,2017,0.6635638775428786,0.6746525010245911,0.9436235469340098,0.2471692824884791,0.6536194016606516,0.5097753973020022,3
Burkina Faso,2017,0.1690240080536707,0.2132322261861681,0.7065079886091264,0.4936685470731057,0.4198602944038755,0.3612452600101569,5
Cambodia,2017,0.3265581430001607,0.4858896976087402,0.8275195760983345,0.7369719598061542,0.4023269483540385,0.2309740467755465,5
Cameroon,2017,0.3100020801293755,0.1607980918902526,0.8566987912674383,0.5374606760176615,0.2367905182596452,0.2079672674666122,5
Canada,2017,0.8423140352852158,0.9123540167983752,0.2339320174995714,0.6224275554493192,0.919191286972582,0.9609148133159432,0
Chad,2017,0.1767844527900632,0.0139824889455003,0.7904899162929206,0.4165695188094719,0.1531343443018608,0.1050171361852111,5
Chile,2017,0.7058241497562372,0.7865121476214342,0.8468725368737985,0.180762413088462,0.7438640060309353,0.7461178067518147,4
Colombia,2017,0.5938329091325352,0.7026174796147131,0.8973489219830603,0.1274565583643166,0.447519047377169,0.4338433768511627,3
Congo (Brazzaville),2017,0.3870228969950973,0.3495608953061035,0.7522008626212997,0.4122984066938058,0.3068375331077709,0.1343209933113448,5
Congo (Kinshasa),2017,0.0146874001064918,0.1957541814208629,0.8122061125486087,0.4221618502842216,0.004130134223973,0.051214889606282,5
Costa Rica,2017,0.6265602260113934,0.8319549039123377,0.7257766979498265,0.3406374710884215,0.780497983474229,0.5717607596634403,4
Croatia,2017,0.7049380428976642,0.7795207696164221,0.9187413657378076,0.1149552276626347,0.7265075066400025,0.565446788316404,4
Cyprus,2017,0.7789702235086661,0.9158495722686194,0.8665544153954249,0.2317354865609303,0.7841465383803247,0.7048946146485221,4
Czech Republic,2017,0.7801852637072013,0.7865121476214342,0.8863651767433627,0.2675985152405548,0.8319803668477397,0.7263248879646991,4
Denmark,2017,0.854483395003942,0.8669109934429481,0.0,0.5300827280172913,0.8889043821888701,0.9615362090732756,0
Dominican Republic,2017,0.6138546214326434,0.6362008560237365,0.7492348337123146,0.4008961649867388,0.5908976066601075,0.3584976365877508,1
Ecuador,2017,0.5472050859016244,0.7305821911403114,0.7144452285052756,0.6083855092579626,0.5054242235632457,0.2896275241068985,1
El Salvador,2017,0.470126221975909,0.6466877894989927,0.7715549808565718,0.1830046182818538,0.5314347000291371,0.3390768749790225,3
Estonia,2017,0.759329173261185,0.7375735691453235,0.6301427103196809,0.3389117365692965,0.8156558158745576,0.8156638581591356,4
Ethiopia,2017,0.1722594434807124,0.3740301845441589,0.7445911528127945,0.7552517025175328,0.0929890792366621,0.2834825673643307,5
Finland,2017,0.8255088027490742,0.8564243266826549,0.0145687577889932,0.559015975398089,0.9237335049843614,0.9964088667902472,0
France,2017,0.8151537128134299,0.9193451277388636,0.5436032193532784,0.3031230040838988,0.7414383054080342,0.81061375964446,4
Gabon,2017,0.6399519316018594,0.4159775185475194,0.8886678234057027,0.2022520794921395,0.3798692270540857,0.2503135214951625,3
Gambia,2017,0.1510882401866984,0.2586751156597728,0.5049732245792548,0.7875782153494902,0.4213864432723968,0.3171888111952876,2
Georgia,2017,0.530148712153824,0.6082358777831752,0.5282729525909429,0.2130589682593474,0.5293519770820656,0.6436217699543807,3
Germany,2017,0.8479359172680722,0.8599198825024598,0.3011641024634013,0.588192514324356,0.828905305774192,0.9267013039870816,0
Ghana,2017,0.3572536136164326,0.3320828505407984,0.8502640687002343,0.6425922699924432,0.6429905909617503,0.441249416607832,5
Greece,2017,0.7216394209250137,0.8704065492627528,0.8937554295857633,0.0332517354977274,0.6292051615204122,0.497300838459213,3
Guatemala,2017,0.473821888107962,0.6012447664931262,0.8000056002949192,0.3994285796435867,0.4215951627045869,0.2849017021122173,1
Guinea,2017,0.2021816435349581,0.2097365371836621,0.7357030073076762,0.6077742348844725,0.3504180432568629,0.1903102602048028,5
Haiti,2017,0.1628638075987178,0.286639960717633,0.6027119849746146,0.3723775320027996,0.3367433486640486,0.0850964611265824,5
Honduras,2017,0.372093732684894,0.6886349903196521,0.7789017584739819,0.4418901413175604,0.4014546284221347,0.2837938523210356,1
Hong Kong S.A.R. of China,2017,0.892361898624322,1.0,0.3034777340012827,0.4987056181191653,0.7290433224513287,0.9564268484104148,0
Hungary,2017,0.7394148683110005,0.6956261016097011,0.9120185042207168,0.3065430082151771,0.7153346034635895,0.5827795749450678,4
Iceland,2017,0.8535964972909242,0.8983715275033143,0.7057243559878109,0.2919202277608469,0.942074359141943,0.8851517260344499,4
