Country name,Year,Log GDP per capita,Healthy life expectancy at birth,Perceptions of corruption,Confidence in national government,Democratic Quality,Delivery Quality
Afghanistan,2017,0.18093817767582396,0.19225849241835696,1.0,0.17260032615284832,0.0,0.08153917858105973
Albania,2017,0.5698213463039334,0.7375735691453235,0.8987928550334537,0.3984103603653313,0.631652015519105,0.42949923887966945
Argentina,2017,0.6676561987919157,0.7445646800858118,0.8534228088476259,0.2234374442070586,0.646488841749835,0.42211680040531485
Armenia,2017,0.508737028241846,0.6746525010245911,0.8839834425982289,0.15619807648449008,0.36209723502258867,0.4288011163339471
Australia,2017,0.8452614069495341,0.9088584609785705,0.29770508361727616,0.3934353288012241,0.8743561364327578,0.9260904724409122
Austria,2017,0.848883230463818,0.8878845940280581,0.4360277214701961,0.3733321723863696,0.8886262273148609,0.8791563520390732
Azerbaijan,2017,0.6308158295120142,0.6257139225484804,0.6096275564368608,0.7532173180430864,0.20913401252919955,0.3412478424615949
Bangladesh,2017,0.3195638608662013,0.5767754772550708,0.5869639230718743,0.8796594137557423,0.2755170442347562,0.2614160669857
Belarus,2017,0.647386108094956,0.6466877894989927,0.6116636472182932,0.38712757249107776,0.35304894179372387,0.3205780627448782
Belgium,2017,0.8358214453321601,0.8564243266826549,0.46802565906563287,0.3892133813925122,0.8062287060830592,0.8145816577702077
Benin,2017,0.20883771221102887,0.23071027095147334,0.7579577870709314,0.5791784991501074,0.6061638732280118,0.3119723314112267
Bolivia,2017,0.45824788758347385,0.5592974324897657,0.8252422124966055,0.3638257565196306,0.49750601355642793,0.254315064036056
Bosnia and Herzegovina,2017,0.5682449920376195,0.7061130350849573,0.9598452103521675,0.017741367572501002,0.4598937722152605,0.373812877641408
Botswana,2017,0.6302920234260063,0.3810214290169091,0.7116682858516336,0.7580855982270578,0.7490670350608835,0.610724447806266
Brazil,2017,0.6066786953529784,0.6606700120790907,0.7931636445697149,0.06267218058574134,0.5518756596828829,0.38312471828371036
Bulgaria,2017,0.6635638775428786,0.6746525010245911,0.9436235469340098,0.24716928248847916,0.6536194016606516,0.5097753973020022
Burkina Faso,2017,0.16902400805367074,0.21323222618616816,0.7065079886091264,0.4936685470731057,0.4198602944038755,0.36124526001015694
Cambodia,2017,0.3265581430001607,0.4858896976087402,0.8275195760983345,0.7369719598061542,0.4023269483540385,0.2309740467755465
Cameroon,2017,0.3100020801293755,0.16079809189025263,0.8566987912674383,0.5374606760176615,0.23679051825964526,0.2079672674666122
Canada,2017,0.8423140352852158,0.9123540167983752,0.23393201749957146,0.6224275554493192,0.9191912869725819,0.9609148133159433
Chad,2017,0.1767844527900632,0.013982488945500353,0.7904899162929206,0.4165695188094719,0.15313434430186085,0.10501713618521118
Chile,2017,0.7058241497562372,0.7865121476214342,0.8468725368737985,0.18076241308846203,0.7438640060309353,0.7461178067518147
Colombia,2017,0.5938329091325352,0.7026174796147131,0.8973489219830603,0.12745655836431669,0.447519047377169,0.43384337685116275
Congo (Brazzaville),2017,0.38702289699509734,0.34956089530610357,0.7522008626212997,0.4122984066938058,0.30683753310777095,0.13432099331134484
Congo (Kinshasa),2017,0.014687400106491885,0.19575418142086298,0.8122061125486087,0.42216185028422165,0.00413013422397307,0.05121488960628202
Costa Rica,2017,0.6265602260113934,0.8319549039123377,0.7257766979498265,0.3406374710884215,0.780497983474229,0.5717607596634403
Croatia,2017,0.7049380428976642,0.7795207696164221,0.9187413657378076,0.11495522766263472,0.7265075066400025,0.565446788316404
Cyprus,2017,0.7789702235086661,0.9158495722686194,0.8665544153954249,0.2317354865609303,0.7841465383803247,0.7048946146485221
Czech Republic,2017,0.7801852637072013,0.7865121476214342,0.8863651767433627,0.26759851524055484,0.8319803668477397,0.7263248879646991
Denmark,2017,0.854483395003942,0.8669109934429481,0.0,0.5300827280172913,0.8889043821888701,0.9615362090732756
